project;0;1;2;3;4;5;6;7;8;9;10;11
eclipse-openj9/openj9;1080;1060;707;969;1202;1130;1478;551;1036;1523;1335;1213
eclipse-theia/theia;515;449;316;380;751;386;872;477;785;1102;1001;634
elastic/kibana;29822;27447;30895;30951;42567;40125;43704;32661;49140;36396;42496;36298
element-hq/element-web;132;163;139;114;179;1439;1828;1651;1874;2236;2270;2097
endless-sky/endless-sky;1263;1622;1606;974;1175;1323;839;530;1114;1508;1645;1048
envoyproxy/envoy;0;0;0;0;0;0;0;0;0;0;0;0
eosphoros-ai/DB-GPT;133;37;59;204;17;75;53;99;51;4;0;0
eslint/eslint;205;220;172;292;647;573;589;434;381;356;844;504
espnet/espnet;216;121;304;353;104;133;276;537;391;201;287;234
explodinggradients/ragas;43;49;78;110;262;229;144;98;86;40;36;37
explosion/spaCy;5;0;6;32;46;1;9;25;9;4;14;0
fabian-hiller/valibot;125;93;114;83;71;81;35;87;44;68;67;76
facebook/docusaurus;434;378;519;359;276;254;211;203;216;176;279;165
facebook/hermes;116;26;11;43;36;69;158;57;117;179;151;185
facebook/react-native;929;1077;1662;1089;1558;1320;1501;1055;1881;2218;2237;1686
faker-js/faker;405;462;341;582;629;968;539;316;254;325;185;396
falcosecurity/falco;153;87;38;262;226;147;74;80;131;127;55;78
fastapi/fastapi;600;330;783;1424;696;2812;835;602;808;915;587;339
fastapi/sqlmodel;188;75;288;198;76;266;85;72;90;307;126;194
fastapi/typer;182;64;313;534;126;212;255;188;140;99;120;52
filamentphp/filament;438;244;278;204;173;319;353;236;349;364;304;372
firebase/firebase-ios-sdk;1747;1515;1514;1132;1575;1556;1311;1022;1086;1090;1317;1776
flairNLP/flair;16;90;64;41;9;26;69;34;46;6;67;6
flameshot-org/flameshot;11;48;15;0;9;6;6;0;30;42;24;95
formbricks/formbricks;0;4;19;6;1;3;0;31;103;563;1319;2390
freqtrade/freqtrade;245;200;253;228;221;235;252;233;193;246;235;220
fuma-nama/fumadocs;121;195;133;148;141;131;103;95;142;121;121;113
gchq/CyberChef;83;20;18;35;46;17;8;13;13;138;44;17
gethomepage/homepage;31;29;16;54;34;18;40;39;13;22;83;43
ggml-org/llama.cpp;2407;1534;1268;1240;1304;1225;1715;1334;1983;1591;1989;2018
gitpod-io/gitpod;2075;2495;1258;1782;1939;1509;1248;793;997;1211;1191;1091
goauthentik/authentik;2543;2727;3183;2712;1954;2071;2180;2125;2476;3407;4286;4126
godotengine/godot;0;0;0;0;0;21;0;0;0;0;0;0
google/blockly;79;77;146;55;59;34;45;25;36;20;61;173
google/guava;84;110;120;41;73;189;75;203;94;180;152;85
google/or-tools;1586;2002;3058;1815;3255;3137;4802;3303;4820;3219;4649;2821
googleapis/google-api-nodejs-client;69;49;65;122;89;52;8;0;33;15;56;76
googleapis/release-please;52;8;1;72;40;14;19;16;5;45;19;0
gradio-app/gradio;2895;2417;4378;4369;6424;2748;3192;2940;3585;2856;2874;2370
grafana/grafana;0;0;0;0;0;0;0;0;0;60;15346;16786
growthbook/growthbook;461;369;450;376;455;538;388;373;429;460;388;556
grpc/grpc-dotnet;122;41;43;100;50;39;49;32;30;55;43;34
handsontable/handsontable;261;283;273;179;378;264;350;175;273;278;290;234
hazelcast/hazelcast;79;75;63;64;51;37;19;17;7;19;23;20
hedgedoc/hedgedoc;0;14;88;1672;504;100;248;56;412;168;134;254
hiyouga/LLaMA-Factory;238;153;71;99;63;76;64;76;178;150;151;143
home-assistant/core;5390;5451;3812;4763;5259;4659;5165;4602;5715;4602;4549;4184
hoppscotch/hoppscotch;24;16;31;144;187;231;148;111;167;220;178;121
hpcaitech/ColossalAI;551;455;463;448;238;180;243;180;82;178;150;153
huggingface/diffusers;2387;2748;2719;2141;2278;2516;2682;3874;1841;2856;2301;3161
huggingface/pytorch-image-models;82;28;42;42;36;43;67;48;49;15;6;35
huggingface/transformers.js;33;24;0;11;13;47;93;51;33;48;35;38
huynhsontung/Screenbox;53;44;19;141;96;53;73;67;46;86;12;25
hyperf/hyperf;1096;514;273;320;390;132;228;229;309;200;216;134
ianstormtaylor/slate;5;27;17;25;30;41;21;18;17;17;13;58
infection/infection;228;60;52;36;24;81;104;76;0;352;184;44
infiniflow/infinity;537;861;751;920;882;1641;1299;1086;865;530;500;692
invoke-ai/InvokeAI;756;633;783;782;1464;964;568;478;495;778;969;582
iree-org/iree;961;878;1831;3368;3366;4201;4752;1779;1152;963;1117;968
isl-org/Open3D;205;286;439;535;372;204;324;549;108;246;330;37
iterative/dvc;166;170;219;320;125;144;230;101;118;44;58;130
ivy-llc/ivy;102;319;316;258;300;76;12;34;126;24;0;16
javaparser/javaparser;196;120;42;131;95;108;58;50;45;90;125;72
jax-ml/jax;2444;2217;2452;1910;4145;4265;4425;4928;8203;10180;17329;18940
jellyfin/jellyfin;553;174;483;542;509;351;420;180;390;340;843;666
johannesjo/super-productivity;42;61;105;101;131;86;84;124;68;45;82;99
juice-shop/juice-shop;11;14;30;15;7;17;8;11;47;146;61;52
junit-team/junit5;146;114;125;296;368;211;321;181;289;328;308;192
jupyterlab/jupyterlab;2542;2481;1955;1756;1748;1414;2278;1683;2561;2143;1750;1388
karatelabs/karate;9;0;6;0;4;0;5;16;6;11;10;10
keephq/keep;0;0;0;0;0;0;0;0;0;3505;2751;1518
keycloak/keycloak;2194;2943;3620;2817;3481;3689;3380;1546;3301;2909;3307;3157
killbill/killbill;27;55;13;28;18;18;1;12;43;39;6;13
kimai/kimai;37;17;94;59;169;41;86;78;95;86;57;49
knuckleswtf/scribe;6;12;1;9;20;17;16;7;31;21;2;13
kysely-org/kysely;49;93;66;32;41;121;218;83;134;51;67;141
labring/FastGPT;0;0;0;0;0;0;0;0;0;0;408;317
langchain4j/langchain4j;599;437;301;633;610;593;1401;860;772;769;1098;1562
langflow-ai/langflow;808;1915;205;160;146;140;246;169;228;129;163;145
langfuse/langfuse;966;894;1019;1328;948;1104;1557;600;1206;1166;1355;777
langgenius/dify;993;784;511;585;834;1169;1053;1578;525;717;1245;999
laurent22/joplin;360;424;362;437;357;572;267;341;393;335;574;736
lcobucci/jwt;52;28;12;29;34;27;85;37;63;115;194;177
ledger/ledger;4;14;23;5;19;8;5;2;7;6;9;2
libcpr/cpr;108;50;14;30;98;69;57;31;82;113;46;71
line/armeria;756;488;520;89;136;253;269;134;127;367;405;183
linkwarden/linkwarden;3;20;30;32;22;16;58;24;26;15;12;19
lobehub/lobe-chat;784;1036;611;1290;1145;1010;751;1393;1327;2207;1449;1377
localstack/localstack;1498;1378;987;1222;1033;931;1258;652;634;604;1005;722
logto-io/logto;607;1206;1199;807;320;518;424;278;260;450;724;547
louislam/uptime-kuma;173;63;45;107;172;247;90;95;106;96;173;152
lovell/sharp;10;7;20;21;2;16;4;4;6;8;36;7
lss233/kirara-ai;0;0;0;0;0;0;0;0;35;187;129;87
luanti-org/luanti;1548;1016;1049;2688;1851;1506;1232;1352;1003;1015;1395;1418
luau-lang/luau;42;39;55;39;94;49;68;38;39;57;41;41
lucide-icons/lucide;46;65;12;164;35;195;107;271;118;326;156;143
lunarphp/lunar;1;71;87;142;64;21;37;20;33;78;67;53
mage-ai/mage-ai;928;574;535;121;220;170;133;35;86;44;56;19
marimo-team/marimo;1136;729;953;1384;2876;1570;1997;2468;2710;3021;3451;3638
marticliment/UniGetUI;67;232;248;199;167;190;216;217;229;254;178;115
matomo-org/matomo;351;222;273;284;286;310;345;199;305;487;247;267
mautic/mautic;277;444;455;376;361;237;361;374;519;670;625;610
memgraph/memgraph;0;0;0;0;0;0;0;0;0;0;0;98
menloresearch/jan;187;125;296;298;157;243;293;301;237;197;71;5
mermaid-js/mermaid;223;721;518;959;762;419;285;81;697;793;748;1067
meshery/meshery;516;469;519;953;1052;906;761;812;1199;1340;1665;2176
meshtastic/firmware;0;0;0;10;50;30;30;30;30;30;30;30
metersphere/metersphere;855;673;442;440;360;737;542;186;37;15;18;8
micronaut-projects/micronaut-core;169;148;234;229;162;199;219;133;228;136;247;124
